,Date,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
284135,2009-01-01,Theft from Vehicle,2009,1,10,5.0,0.0,3XX SW MARINE DR,Marpole,491713.39,5450934.45,49.21114518,-123.1137757
434451,2014-06-01,Other Theft,2014,6,26,23.0,0.0,33XX MAIN ST,Riley Park,492626.79,5455877.26,49.2556186,-123.1013256
193502,2007-08-01,Mischief,2007,8,4,21.0,0.0,18XX MAPLE ST,Kitsilano,489057.57,5457395.98,49.26922632,-123.1504166
490532,2016-05-01,Theft of Bicycle,2016,5,24,21.0,0.0,8X W PENDER ST,Central Business District,492208.56,5458693.0,49.28094151,-123.1071279
230726,2008-07-01,Other Theft,2008,7,18,19.0,36.0,1XX DAVIE ST,Central Business District,491208.04,5457902.59,49.27381807,-123.1208671
170994,2006-01-01,Other Theft,2006,1,13,15.0,33.0,9XX SEYMOUR ST,Central Business District,491175.31,5458477.55,49.27898946,-123.1213297
127224,2005-07-01,Theft from Vehicle,2005,7,29,0.0,0.0,20XX TRAFALGAR ST,Kitsilano,488025.19,5457280.31,49.26816651,-123.1646044
175018,2006-01-01,Break and Enter Residential/Other,2006,1,20,18.0,0.0,68XX ADERA ST,Kerrisdale,489542.5,5452256.93,49.22300801,-123.1436166
78869,2004-07-01,Theft from Vehicle,2004,7,15,18.0,30.0,12XX HARO ST,West End,490632.64,5459230.4,49.28575338,-123.1288085
454194,2015-07-01,Theft from Vehicle,2015,7,2,4.0,52.0,7XX SEYMOUR ST,Central Business District,491477.85,5458783.04,49.28174168,-123.1171767
368822,2012-04-01,Vehicle Collision or Pedestrian Struck (with Injury),2012,4,1,15.0,0.0,FRASER ST / E 59TH AVE,Sunset,493373.0,5451530.0,49.21652251,-123.090999
156631,2006-11-01,Theft from Vehicle,2006,11,17,17.0,30.0,75XX ELLIOTT ST,Victoria Fraserview,496071.94,5451446.45,49.21579421,-123.0539376
152208,2006-05-01,Theft of Bicycle,2006,5,17,10.0,0.0,2XX E BROADWAY AVE,Mount Pleasant,492661.71,5456682.95,49.26286636,-123.1008605
526174,2017-05-01,Other Theft,2017,5,19,15.0,39.0,3XX ABBOTT ST,Central Business District,492213.73,5458862.15,49.28246311,-123.1070601
359031,2012-11-01,Mischief,2012,11,3,10.0,32.0,5XX MAIN ST,Central Business District,492743.88,5458619.61,49.28028794,-123.0997662
131604,2005-10-01,Theft from Vehicle,2005,10,15,19.0,30.0,19XX W 2ND AVE,Kitsilano,489139.73,5457460.31,49.26980645,-123.149289
206334,2007-08-01,Theft from Vehicle,2007,8,21,23.0,0.0,22XX MANNERING AVE,Kensington Cedar Cottage,495578.32,5454206.69,49.2406199,-123.0607461
342329,2011-03-01,Theft from Vehicle,2011,3,29,8.0,30.0,37XX W 11TH AVE,West Point Grey,486419.66,5456665.19,49.26259986,-123.1866528
501379,2016-01-01,Theft from Vehicle,2016,1,17,17.0,0.0,6XX E 56TH AVE,Sunset,493351.65,5451814.7,49.21908323,-123.0912969
56331,2004-12-01,Break and Enter Commercial,2004,12,25,7.0,24.0,15XX W 2ND AVE,Fairview,489881.35,5457439.7,49.26963378,-123.1390939
33379,2003-03-01,Theft from Vehicle,2003,3,23,20.0,0.0,47XX LANARK ST,Kensington Cedar Cottage,494557.31,5454468.65,49.24296807,-123.0747765
135411,2005-10-01,Theft of Vehicle,2005,10,19,12.0,30.0,6XX PRINCESS AVE,Strathcona,493344.76,5458507.22,49.27928381,-123.0915027
155643,2006-04-01,Break and Enter Residential/Other,2006,4,23,22.0,0.0,8X W KING EDWARD AVE,Riley Park,492208.26,5455119.86,49.24880045,-123.1070625
50027,2004-01-01,Break and Enter Commercial,2004,1,23,1.0,50.0,10XX BEACH AVE,Central Business District,490249.36,5458166.66,49.27617888,-123.1340529
201766,2007-01-01,Theft from Vehicle,2007,1,3,22.0,0.0,31XX CAMBIE ST,Fairview,491624.35,5456089.34,49.2575134,-123.115106
136123,2005-12-01,Break and Enter Residential/Other,2005,12,9,18.0,50.0,16XX CYPRESS ST,Kitsilano,489247.66,5457573.46,49.27082616,-123.1478084
184013,2006-01-01,Theft from Vehicle,2006,1,24,16.0,0.0,13XX COMOX ST,West End,490287.2,5459105.42,49.28462378,-123.1335555
86197,2004-05-01,Theft from Vehicle,2004,5,2,0.0,0.0,21XX BRUNSWICK ST,Mount Pleasant,492954.29,5457018.77,49.26589057,-123.0968451
389029,2013-04-01,Vehicle Collision or Pedestrian Struck (with Injury),2013,4,3,20.0,33.0,11XX MAIN ST,Strathcona,492736.0,5458005.0,49.27475933,-123.0998634
294586,2010-10-01,Theft from Vehicle,2010,10,31,11.0,58.0,18XX COMMERCIAL DR,Grandview Woodland,494926.7,5457311.01,49.26853886,-123.0697375
213103,2007-07-01,Theft of Vehicle,2007,7,29,0.0,0.0,48XX SELKIRK ST,Shaughnessy,490357.42,5454370.7,49.24203523,-123.1324759
413718,2014-08-01,Theft from Vehicle,2014,8,20,22.0,0.0,E 46TH AVE / MAIN ST,Sunset,492608.33,5452860.46,49.22848159,-123.1015236
303575,2010-02-01,Break and Enter Residential/Other,2010,2,5,11.0,50.0,1X W 14TH AVE,Mount Pleasant,492322.43,5456198.87,49.2585078,-123.1055144
165271,2006-09-01,Break and Enter Residential/Other,2006,9,10,20.0,0.0,2XX E 15TH AVE,Mount Pleasant,492709.17,5456081.1,49.25745317,-123.1001972
405816,2013-01-01,Other Theft,2013,1,25,11.0,57.0,34XX KINGSWAY AVE,Renfrew Collingwood,497635.74,5453285.35,49.23234363,-123.0324753
39393,2003-01-01,Theft from Vehicle,2003,1,7,22.0,0.0,25XX E 20TH AVE,Renfrew Collingwood,496043.49,5455506.73,49.25231724,-123.0543683
225196,2008-04-01,Theft from Vehicle,2008,4,22,14.0,30.0,5XX W 24TH AVE,South Cambie,491393.23,5455253.39,49.24999065,-123.1182642
419311,2014-01-01,Mischief,2014,1,10,13.0,1.0,5XX RICHARDS ST,Central Business District,491789.2,5458959.71,49.28333512,-123.1128993
95876,2004-09-01,Theft from Vehicle,2004,9,21,19.0,0.0,56XX ORMIDALE ST,Renfrew Collingwood,498196.79,5453387.95,49.23326845,-123.0247693
516776,2017-04-01,Other Theft,2017,4,4,13.0,42.0,7XX DUNSMUIR ST,Central Business District,491512.51,5459022.81,49.28389893,-123.1167052
233293,2008-05-01,Other Theft,2008,5,4,18.0,55.0,21XX GRANDVIEW HWY S,Kensington Cedar Cottage,495505.76,5456301.99,49.25946706,-123.0617664
504651,2016-08-01,Vehicle Collision or Pedestrian Struck (with Injury),2016,8,4,15.0,9.0,23XX LIONS GT BRDG,Stanley Park,489639.0,5462046.0,49.31106401,-123.1425448
526457,2017-03-01,Theft from Vehicle,2017,3,2,20.0,0.0,11XX HOWE ST,Central Business District,490851.79,5458444.35,49.27868606,-123.125777
27975,2003-08-01,Theft from Vehicle,2003,8,10,22.0,0.0,6XX MOBERLY RD,Fairview,491393.52,5457132.77,49.26689604,-123.1183007
338377,2011-11-01,Mischief,2011,11,5,22.0,20.0,33XX E 22ND AVE,Renfrew Collingwood,497729.21,5455311.21,49.25056708,-123.0312029
276524,2009-06-01,Other Theft,2009,6,18,17.0,15.0,18XX RENFREW ST,Hastings Sunrise,496776.64,5457267.75,49.26816228,-123.0443079
99068,2004-12-01,Theft from Vehicle,2004,12,5,23.0,0.0,6XX UNION ST,Strathcona,493340.98,5458305.79,49.27747188,-123.0915513
356925,2012-07-01,Mischief,2012,7,21,10.0,4.0,21XX PANDORA ST,Grandview Woodland,495587.16,5458914.51,49.28296776,-123.0606765
54516,2004-12-01,Break and Enter Residential/Other,2004,12,28,22.0,30.0,22XX W 40TH AVE,Arbutus Ridge,488403.4,5453663.55,49.23564036,-123.1593009
69594,2004-11-01,Theft of Vehicle,2004,11,7,3.0,7.0,9XX E 14TH AVE,Mount Pleasant,493799.8,5456122.06,49.25783364,-123.0852094
16120,2003-06-01,Theft of Vehicle,2003,6,4,18.0,0.0,11XX BEACH AVE,West End,490136.17,5458353.32,49.2778561,-123.1356136
389131,2013-09-01,Mischief,2013,9,14,0.0,0.0,15XX E PENDER ST,Grandview Woodland,494618.44,5458626.0,49.2803648,-123.0739926
408210,2014-09-01,Theft of Vehicle,2014,9,14,14.0,0.0,73XX HUDSON ST,Marpole,490232.43,5451759.78,49.21854742,-123.1341295
415575,2014-02-01,Theft from Vehicle,2014,2,2,9.0,0.0,4XX W GEORGIA ST,Central Business District,491620.64,5458660.03,49.28063716,-123.1152108
191228,2007-08-01,Break and Enter Residential/Other,2007,8,28,20.0,59.0,64XX PRINCE ALBERT ST,Sunset,493588.51,5452611.2,49.22625048,-123.088057
193413,2007-08-01,Theft from Vehicle,2007,8,10,15.0,30.0,54XX RUPERT ST,Renfrew Collingwood,496906.4,5453657.49,49.23568787,-123.0424964
272207,2009-06-01,Other Theft,2009,6,23,15.0,21.0,11XX ROBSON ST,West End,490882.23,5459146.21,49.28499985,-123.1253745
53779,2004-02-01,Mischief,2004,2,2,18.0,0.0,7XX BURRARD ST,Central Business District,491118.6,5458997.3,49.28366387,-123.122121
253337,2008-09-01,Mischief,2008,9,10,17.0,0.0,GRANVILLE ST / W 7TH AVE,Fairview,489923.71,5456962.57,49.26534261,-123.1384996
131030,2005-06-01,Theft from Vehicle,2005,6,8,23.0,0.0,3XX DRAKE ST,Central Business District,490954.91,5457902.08,49.27380979,-123.124347
316005,2010-10-01,Theft from Vehicle,2010,10,18,20.0,0.0,60XX SHERBROOKE ST,Sunset,494077.88,5452987.42,49.2296396,-123.0813415
241022,2008-02-01,Mischief,2008,2,22,12.0,0.0,12XX NELSON ST,West End,490504.52,5459056.77,49.28418958,-123.1305661
413500,2014-01-01,Mischief,2014,1,31,23.0,25.0,CLARK DR / E HASTINGS ST,Grandview Woodland,494392.54,5458735.13,49.28134441,-123.0771
84795,2004-07-01,Theft from Vehicle,2004,7,14,16.0,0.0,1XX CAMBIE ST,Central Business District,492100.44,5459101.72,49.28461662,-123.1086226
359919,2012-02-01,Mischief,2012,2,26,15.0,52.0,8X W PENDER ST,Central Business District,492208.56,5458693.0,49.28094151,-123.1071279
345018,2011-11-01,Vehicle Collision or Pedestrian Struck (with Injury),2011,11,6,23.0,50.0,8XX BLOCK BURRARD ST,Central Business District,491049.0,5458935.0,49.28310245,-123.1230766
327374,2011-08-01,Theft from Vehicle,2011,8,14,14.0,30.0,15XX STANLEY PARK DR,Stanley Park,491355.26,5460631.89,49.29837063,-123.1189022
301375,2010-04-01,Break and Enter Residential/Other,2010,4,3,1.0,7.0,11XX BUTE ST,West End,490394.57,5458878.43,49.28258366,-123.1320736
138197,2005-08-01,Other Theft,2005,8,11,14.0,52.0,13XX SW MARINE DR,Marpole,490011.73,5450113.6,49.20373604,-123.1371192
30709,2003-11-01,Theft from Vehicle,2003,11,28,22.0,30.0,5X W CORDOVA ST,Central Business District,492324.63,5458890.85,49.28272267,-123.1055358
505608,2016-04-01,Vehicle Collision or Pedestrian Struck (with Injury),2016,4,23,22.0,51.0,4XX BLOCK W 12TH AVE,Mount Pleasant,491756.0,5456409.0,49.26039059,-123.1133033
196888,2007-04-01,Theft from Vehicle,2007,4,15,8.0,30.0,5XX RICHARDS ST,Central Business District,491789.2,5458959.71,49.28333512,-123.1128993
122408,2005-12-01,Other Theft,2005,12,13,9.0,20.0,3XX E BROADWAY AVE,Mount Pleasant,492933.9,5456669.39,49.26274759,-123.0971192
191938,2007-09-01,Theft from Vehicle,2007,9,14,12.0,0.0,7XX E 14TH AVE,Mount Pleasant,493570.84,5456138.09,49.25797547,-123.0883563
517195,2017-05-01,Break and Enter Commercial,2017,5,30,8.0,51.0,11XX W PENDER ST,Central Business District,491126.32,5459480.18,49.28800756,-123.1220255
262330,2009-03-01,Mischief,2009,3,26,15.0,0.0,14XX W 64TH AVE,Marpole,489954.13,5451152.13,49.21307695,-123.1379359
239892,2008-01-01,Break and Enter Commercial,2008,1,12,22.0,0.0,6XX KINGSWAY AVE,Mount Pleasant,493410.96,5456027.01,49.25697458,-123.0905517
85703,2004-04-01,Break and Enter Residential/Other,2004,4,25,0.0,0.0,59XX FLEMING ST,Victoria Fraserview,494690.61,5453018.83,49.22992776,-123.0729259
471823,2015-09-01,Theft of Bicycle,2015,9,27,17.0,0.0,MAPLE ST / W 4TH AVE,Kitsilano,489059.3,5457268.75,49.2680819,-123.1503894
284958,2009-03-01,Break and Enter Residential/Other,2009,3,14,19.0,53.0,45XX REID ST,Renfrew Collingwood,497388.51,5454605.81,49.24422048,-123.0358799
160993,2006-04-01,Theft from Vehicle,2006,4,2,17.0,0.0,1XX W GEORGIA ST,Central Business District,491773.94,5458495.5,49.27915927,-123.1130996
35556,2003-02-01,Other Theft,2003,2,27,14.0,50.0,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01,49.28245092,-123.1182643
223130,2007-05-01,Vehicle Collision or Pedestrian Struck (with Injury),2007,5,12,18.0,7.0,NELSON ST / SEYMOUR ST,Central Business District,491125.0,5458434.0,49.27859699,-123.1220205
220978,2007-04-01,Mischief,2007,4,13,5.0,54.0,5XX W 6TH AVE,Fairview,491632.34,5456998.58,49.26569229,-123.1150152
406795,2013-09-01,Theft of Bicycle,2013,9,1,10.0,0.0,3XX W 11TH AVE,Mount Pleasant,491900.74,5456501.71,49.26122647,-123.1113159
274358,2009-05-01,Mischief,2009,5,11,8.0,0.0,GRANVILLE ST / W 12TH AVE,Fairview,489908.4,5456457.69,49.26080088,-123.1386973
77323,2004-03-01,Theft from Vehicle,2004,3,29,19.0,0.0,10XX ROBSON ST,West End,491031.94,5458997.83,49.28366737,-123.1233126
298296,2010-01-01,Theft from Vehicle,2010,1,21,7.0,30.0,E HASTINGS ST / RENFREW ST,Hastings Sunrise,496797.39,5458712.21,49.28115557,-123.0440343
150994,2006-05-01,Theft of Bicycle,2006,5,21,14.0,0.0,8XX AVISON WAY,Stanley Park,490530.96,5460905.93,49.30082343,-123.1302463
358478,2012-09-01,Theft of Bicycle,2012,9,8,23.0,0.0,3X WALTER HARDWICK AVE,Mount Pleasant,492345.55,5457581.7,49.27094691,-123.1052231
386950,2013-08-01,Theft from Vehicle,2013,8,24,17.0,0.0,9XX BURRARD ST,West End,490887.15,5458782.31,49.28172659,-123.1252985
2310,2003-07-01,Vehicle Collision or Pedestrian Struck (with Injury),2003,7,9,11.0,10.0,25XX BLOCK COLLINGWOOD ST,Kitsilano,486793.0,5456804.0,49.26385666,-123.1815261
423569,2014-09-01,Theft from Vehicle,2014,9,20,18.0,0.0,7XX E 19TH AVE,Kensington Cedar Cottage,493510.08,5455659.69,49.25367152,-123.0891836
435623,2014-09-01,Theft from Vehicle,2014,9,12,21.0,33.0,11XX HORNBY ST,Central Business District,490697.45,5458424.74,49.27850734,-123.1278985
124616,2005-03-01,Theft from Vehicle,2005,3,6,21.0,0.0,56XX OAK ST,South Cambie,490682.32,5453536.96,49.23454059,-123.1279928
492423,2016-10-01,Theft from Vehicle,2016,10,21,21.0,30.0,26XX W 2ND AVE,Kitsilano,487991.71,5457499.26,49.27013534,-123.1650712
454482,2015-07-01,Theft from Vehicle,2015,7,1,4.0,30.0,7XX W 20TH AVE,South Cambie,491145.03,5455640.49,49.25346916,-123.1216833
9329,2003-11-01,Break and Enter Residential/Other,2003,11,3,8.0,0.0,7XX W 7TH AVE,Fairview,491244.77,5456934.44,49.26510992,-123.120341
439874,2014-09-01,Theft of Vehicle,2014,9,10,19.0,0.0,5XX E 6TH AVE,Mount Pleasant,493242.43,5456943.41,49.26521594,-123.0928832
513010,2017-04-01,Theft from Vehicle,2017,4,3,20.0,30.0,11XX HARO ST,West End,490745.98,5459116.41,49.28472975,-123.1272473
517064,2017-02-01,Other Theft,2017,2,14,17.0,0.0,7XX DUNSMUIR ST,Central Business District,491512.51,5459022.81,49.28389893,-123.1167052
394843,2013-03-01,Mischief,2013,3,16,14.0,10.0,COMMERCIAL DR / NAPIER ST,Grandview Woodland,494941.32,5458014.18,49.27486413,-123.0695454
72685,2004-08-01,Break and Enter Residential/Other,2004,8,29,23.0,0.0,37XX W 36TH AVE,Dunbar Southlands,486335.88,5454104.55,49.23956459,-123.187717
143952,2006-10-01,Mischief,2006,10,15,18.0,0.0,21XX W 39TH AVE,Arbutus Ridge,488476.45,5453751.52,49.23643305,-123.1582999
67072,2004-09-01,Theft of Vehicle,2004,9,16,13.0,30.0,4XX W 49TH AVE,Oakridge,491597.36,5452585.65,49.22599657,-123.1154034
371619,2012-02-01,Theft from Vehicle,2012,2,27,0.0,0.0,34XX W 37TH AVE,Dunbar Southlands,486848.25,5453989.52,49.2385411,-123.1806743
74438,2004-09-01,Mischief,2004,9,10,2.0,37.0,30XX E 28TH AVE,Renfrew Collingwood,496979.43,5454733.11,49.24536369,-123.0415013
308108,2010-10-01,Theft from Vehicle,2010,10,4,17.0,0.0,1XX SLOCAN ST,Hastings Sunrise,496417.24,5458974.03,49.28350858,-123.0492635
192292,2007-06-01,Mischief,2007,6,2,3.0,48.0,SEYMOUR ST / W PENDER ST,Central Business District,491721.62,5459035.92,49.28401973,-123.1138301
220699,2007-08-01,Break and Enter Residential/Other,2007,8,2,17.0,29.0,16XX E 11TH AVE,Kensington Cedar Cottage,494859.55,5456417.02,49.26049669,-123.0706491
278636,2009-07-01,Theft of Vehicle,2009,7,15,12.0,0.0,7XX E 15TH AVE,Mount Pleasant,493520.41,5456041.63,49.25710726,-123.0890478
225508,2008-06-01,Other Theft,2008,6,14,15.0,17.0,16XX MAIN ST,Mount Pleasant,492672.14,5457569.49,49.27084108,-123.1007334
319169,2010-01-01,Theft from Vehicle,2010,1,13,19.0,0.0,11XX W HASTINGS ST,Central Business District,491223.63,5459498.3,49.28817195,-123.1206878
131122,2005-03-01,Break and Enter Residential/Other,2005,3,4,17.0,30.0,6XX E CORDOVA ST,Strathcona,493394.35,5458827.39,49.28216433,-123.0908262
77681,2004-09-01,Break and Enter Commercial,2004,9,22,2.0,50.0,87XX ASH ST,Marpole,491319.8,5450370.69,49.20606856,-123.1191676
50312,2004-04-01,Break and Enter Residential/Other,2004,4,26,18.0,0.0,8XX UNION ST,Strathcona,493705.57,5458295.51,49.27738327,-123.0865386
240017,2008-02-01,Mischief,2008,2,6,8.0,46.0,13XX W PENDER ST,Central Business District,490796.42,5459620.89,49.28926838,-123.1265654
192969,2007-11-01,Break and Enter Residential/Other,2007,11,28,3.0,0.0,9XX THURLOW ST,West End,490694.6,5458868.33,49.28249745,-123.127948
52722,2004-05-01,Break and Enter Residential/Other,2004,5,16,9.0,15.0,9XX W 70TH AVE,Marpole,490680.55,5450639.8,49.20847989,-123.1279498
428536,2014-05-01,Other Theft,2014,5,19,19.0,28.0,3XX ABBOTT ST,Central Business District,492213.87,5458862.65,49.2824676,-123.1070582
530367,2017-02-01,Break and Enter Residential/Other,2017,2,3,15.0,0.0,2XX E 18TH AVE,Riley Park,492798.13,5455777.62,49.25472436,-123.0989692
448549,2015-02-01,Mischief,2015,2,24,10.0,26.0,1XX E PENDER ST,Central Business District,492636.59,5458638.89,49.28046009,-123.1012418
440995,2015-08-01,Theft from Vehicle,2015,8,30,7.0,11.0,10XX QUEBEC ST,Central Business District,492582.38,5458114.96,49.27574659,-123.1019774
161693,2006-10-01,Theft from Vehicle,2006,10,2,17.0,0.0,9XX W BROADWAY AVE,Fairview,490956.41,5456736.94,49.26332917,-123.1243
81711,2004-02-01,Theft from Vehicle,2004,2,15,11.0,30.0,14XX ROBSON ST,West End,490542.75,5459472.14,49.28792648,-123.1300502
157123,2006-06-01,Theft from Vehicle,2006,6,19,20.0,0.0,5XX HOWE ST,Central Business District,491572.98,5459167.21,49.28519867,-123.1158768
396200,2013-05-01,Other Theft,2013,5,15,14.0,50.0,7XX GRANVILLE ST,Central Business District,491295.24,5458744.77,49.28139486,-123.1196866
88550,2004-05-01,Theft from Vehicle,2004,5,30,5.0,15.0,26XX W 1ST AVE,Kitsilano,488029.55,5457590.97,49.27096103,-123.1645538
288723,2009-08-01,Theft from Vehicle,2009,8,19,19.0,0.0,5XX W 7TH AVE,Fairview,491616.6,5456923.65,49.26501807,-123.1152299
527116,2017-06-01,Other Theft,2017,6,20,19.0,55.0,7XX BURRARD ST,Central Business District,491117.43,5458996.15,49.28365351,-123.122137
26039,2003-05-01,Mischief,2003,5,21,21.0,0.0,20XX W BROADWAY AVE,Kitsilano,488903.89,5456790.05,49.26377311,-123.1525123
521744,2017-03-01,Mischief,2017,3,12,4.0,1.0,7XX NELSON ST,Central Business District,491046.63,5458504.81,49.27923279,-123.1230995
177863,2006-02-01,Theft of Vehicle,2006,2,3,21.0,0.0,39XX W 37TH AVE,Dunbar Southlands,486090.51,5453992.94,49.23855511,-123.191084
359483,2012-07-01,Mischief,2012,7,14,2.0,55.0,6XX W HASTINGS ST,Central Business District,491728.99,5459164.88,49.28517984,-123.1137315
314522,2010-08-01,Theft from Vehicle,2010,8,8,11.0,30.0,10XX BURRARD ST,West End,490806.28,5458701.61,49.28099947,-123.1264086
418471,2014-05-01,Break and Enter Commercial,2014,5,26,21.0,0.0,49XX FRASER ST,Kensington Cedar Cottage,493425.63,5454122.4,49.23984236,-123.0903188
56277,2004-09-01,Theft from Vehicle,2004,9,4,15.0,30.0,RICHARDS ST / W GEORGIA ST,Central Business District,491549.42,5458724.17,49.28121313,-123.1161914
264511,2009-11-01,Mischief,2009,11,2,19.0,10.0,10XX W BROADWAY AVE,Fairview,490731.11,5456742.69,49.26337752,-123.1273968
467466,2015-11-01,Break and Enter Commercial,2015,11,23,23.0,40.0,16XX W 7TH AVE,Fairview,489732.98,5456972.07,49.26542489,-123.1411215
530203,2017-02-01,Theft from Vehicle,2017,2,6,19.0,0.0,8XX HAMILTON ST,Central Business District,491524.9,5458410.93,49.27839515,-123.1165219
332894,2011-08-01,Theft from Vehicle,2011,8,22,2.0,35.0,3XX E PENDER ST,Strathcona,492989.6,5458627.14,49.28035854,-123.0963879
430834,2014-03-01,Break and Enter Residential/Other,2014,3,11,15.0,0.0,35XX INVERNESS ST,Kensington Cedar Cottage,494182.65,5455586.23,49.2530175,-123.0799402
276970,2009-10-01,Theft from Vehicle,2009,10,9,10.0,0.0,ALBERNI ST / BUTE ST,West End,490842.85,5459340.72,49.28674891,-123.1259204
317773,2010-02-01,Other Theft,2010,2,1,13.0,15.0,14XX E HASTINGS ST,Grandview Woodland,494561.07,5458727.45,49.28127685,-123.0747827
115959,2005-08-01,Theft from Vehicle,2005,8,10,19.0,30.0,6XX HOWE ST,Central Business District,491460.85,5459055.13,49.28418893,-123.1174162
256759,2008-02-01,Break and Enter Residential/Other,2008,2,22,14.0,30.0,41XX SKEENA ST,Renfrew Collingwood,497918.64,5454983.32,49.2476183,-123.0285983
125821,2005-11-01,Theft from Vehicle,2005,11,13,21.0,0.0,17XX DAVIE ST,West End,489718.68,5459362.29,49.28692506,-123.1413795
372444,2012-10-01,Theft from Vehicle,2012,10,22,21.0,30.0,42XX DUMFRIES ST,Kensington Cedar Cottage,494662.26,5454951.9,49.24731593,-123.0733411
528620,2017-01-01,Theft from Vehicle,2017,1,28,2.0,0.0,E 56TH AVE / ROSS ST,Sunset,493951.63,5451806.24,49.21901335,-123.0830577
